City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0023,-57.5575,64.87,91,100,23.0,overcast clouds
1,Bredasdorp,ZA,-34.5322,20.0403,79.56,37,25,9.86,scattered clouds
2,Longyearbyen,SJ,78.2186,15.6401,19.24,63,40,19.57,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,55.06,58,75,5.75,broken clouds
4,Chokurdakh,RU,70.6333,147.9167,-39.28,100,99,2.21,overcast clouds
5,Dubbo,AU,-32.25,148.6167,55.53,94,34,8.05,scattered clouds
6,East London,ZA,-33.0153,27.9116,75.67,80,4,23.53,clear sky
7,Goderich,CA,43.7501,-81.7165,26.91,80,99,19.98,overcast clouds
8,Gao,ML,16.6362,1.637,81.37,8,0,10.16,clear sky
9,Rikitea,PF,-23.1203,-134.9692,78.78,71,91,16.08,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,-12.89,61,65,8.14,broken clouds
11,Victoria,HK,22.2855,114.1577,62.58,85,100,5.99,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,39.47,99,3,2.01,clear sky
13,Barrow,US,71.2906,-156.7887,-23.78,76,20,6.91,few clouds
14,Puerto Padre,CU,21.195,-76.6028,83.41,43,0,13.78,clear sky
15,Beringovskiy,RU,63.05,179.3167,-17.1,98,18,8.97,few clouds
16,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,58,0,18.41,clear sky
17,Cherskiy,RU,68.75,161.3,-30.3,100,33,2.1,scattered clouds
18,Paamiut,GL,61.994,-49.6678,4.87,75,100,9.19,overcast clouds
19,Teknaf,BD,20.8624,92.3058,60.08,64,100,11.05,overcast clouds
20,Talnakh,RU,69.4865,88.3972,-27.08,98,56,1.43,broken clouds
21,Mahebourg,MU,-20.4081,57.7,79.25,82,40,12.66,scattered clouds
22,San Cristobal,VE,7.7669,-72.225,68.18,53,87,4.41,overcast clouds
23,Narsaq,GL,60.9167,-46.05,9.23,58,100,3.06,overcast clouds
24,Clyde River,CA,70.4692,-68.5914,-32.57,68,0,5.75,haze
25,Busselton,AU,-33.65,115.3333,55.09,66,77,18.95,broken clouds
26,Tiksi,RU,71.6872,128.8694,-17.07,99,100,3.56,overcast clouds
27,Birao,CF,10.2849,22.7882,76.01,12,58,7.9,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,78.1,42,19,1.01,few clouds
29,Maceio,BR,-9.6658,-35.7353,89.04,51,20,16.11,few clouds
30,Katsuura,JP,35.1333,140.3,39.31,44,12,10.42,few clouds
31,Burns Lake,CA,54.2331,-125.7533,18.55,93,45,3.74,scattered clouds
32,Bengkulu,ID,-3.8004,102.2655,76.24,85,98,6.67,overcast clouds
33,Cabo San Lucas,MX,22.8909,-109.9124,69.51,73,69,0.94,broken clouds
34,Lebu,CL,-37.6167,-73.65,67.19,61,0,13.6,clear sky
35,Vao,NC,-22.6667,167.4833,79.72,85,89,1.9,overcast clouds
36,Ivangorod,RU,59.3716,28.2162,32.23,97,100,11.97,snow
37,Hastings,GB,50.8552,0.5729,51.91,73,77,28.07,broken clouds
38,Andros Town,BS,24.7,-77.7667,77.23,64,60,16.42,broken clouds
39,Boralday,KZ,43.3578,76.8594,35.46,55,100,13.42,smoke
40,Neryungri,RU,56.6709,124.6491,-27.85,98,63,1.66,broken clouds
41,Dalby,AU,-27.1833,151.2667,57.97,86,0,1.01,clear sky
42,Oshakati,NA,-17.7833,15.6833,76.91,54,100,4.94,light rain
43,College,US,64.8569,-147.8028,-0.71,78,100,3.44,light snow
44,Faanui,PF,-16.4833,-151.75,81.63,75,96,20.92,light rain
45,Zachary,US,30.6485,-91.1565,51.78,59,0,4.61,clear sky
46,Yulara,AU,-25.2406,130.9889,71.44,40,0,5.75,clear sky
47,Hobart,AU,-42.8794,147.3294,55.06,84,28,5.75,scattered clouds
48,Tombouctou,ML,20.0,-3.0,79.66,6,0,5.73,clear sky
49,Pacific Grove,US,36.6177,-121.9166,58.44,64,0,1.01,clear sky
50,Tianpeng,CN,30.9866,103.9393,35.24,95,85,2.17,overcast clouds
51,Thompson,CA,55.7435,-97.8558,-12.42,90,17,4.18,few clouds
52,Samana,DO,19.2056,-69.3369,77.22,94,40,11.5,scattered clouds
53,Port Shepstone,ZA,-30.7414,30.455,75.07,82,94,13.85,light rain
54,Humaita,BR,-7.5061,-63.0208,90.03,60,93,0.94,overcast clouds
55,San Patricio,US,28.017,-97.5169,59.09,64,0,3.44,clear sky
56,Albany,US,42.6001,-73.9662,25.66,46,16,1.01,few clouds
57,Ruwi,OM,23.5996,58.5507,73.09,58,0,7.76,clear sky
58,Gualeguay,AR,-33.1416,-59.3097,75.88,30,1,14.38,clear sky
59,Khatanga,RU,71.9667,102.5,-22.45,99,95,7.67,overcast clouds
60,Vostok,RU,46.4856,135.8833,-11.65,99,81,4.43,broken clouds
61,Vardo,NO,70.3705,31.1107,24.78,80,75,21.85,broken clouds
62,San Clemente,US,33.427,-117.612,70.75,37,0,1.01,clear sky
63,Khandyga,RU,62.6667,135.6,-38.76,99,98,1.97,overcast clouds
64,Nichinan,JP,31.6,131.3667,34.75,61,30,4.54,scattered clouds
65,Saldanha,ZA,-33.0117,17.9442,73.45,92,43,11.32,scattered clouds
66,Hilo,US,19.7297,-155.09,68.79,96,100,5.75,moderate rain
67,Evensk,RU,61.95,159.2333,4.24,61,0,10.87,clear sky
68,Punta Arenas,CL,-53.15,-70.9167,69.91,47,75,17.27,broken clouds
69,Liverpool,GB,53.4106,-2.9779,45.82,74,40,18.01,scattered clouds
70,Codrington,AU,-38.2667,141.9667,60.75,71,0,10.6,clear sky
71,Atuona,PF,-9.8,-139.0333,78.67,74,10,20.47,clear sky
72,Hofn,IS,64.2539,-15.2082,28.74,62,2,13.71,clear sky
73,Chapais,CA,49.7834,-74.8492,2.98,93,100,11.43,light snow
74,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,75.42,84,100,1.88,overcast clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,64,5.99,broken clouds
76,Progreso,MX,21.2833,-89.6667,69.91,72,84,11.41,broken clouds
77,Vaini,TO,-21.2,-175.2,75.36,94,100,12.66,light rain
78,Pevek,RU,69.7008,170.3133,-24.43,99,29,1.34,scattered clouds
79,Antofagasta,CL,-23.65,-70.4,73.22,60,0,8.01,clear sky
80,Bluff,NZ,-46.6,168.3333,39.79,81,1,5.12,clear sky
81,Radauti,RO,47.85,25.9167,39.87,59,100,6.33,overcast clouds
82,Kysyl-Syr,RU,63.8986,122.7617,-23.15,100,96,6.42,overcast clouds
83,Ribeira Grande,PT,38.5167,-28.7,64.8,77,40,13.8,scattered clouds
84,Oktyabrskoye,RU,43.0645,44.7417,30.34,80,40,8.95,scattered clouds
85,Santana Do Acarau,BR,-3.4606,-40.2122,93.51,41,81,5.73,broken clouds
86,Northam,GB,51.0333,-4.2167,52.02,91,93,28.66,overcast clouds
87,Shache,CN,38.4167,77.2406,31.71,56,100,3.71,overcast clouds
88,Taitung,TW,22.7583,121.1444,65.5,77,86,8.93,overcast clouds
89,Kapaa,US,22.0752,-159.319,71.92,84,75,6.91,light rain
90,Lima,PE,-12.0432,-77.0282,72.14,68,0,6.91,clear sky
91,Richards Bay,ZA,-28.783,32.0377,72.55,91,21,7.0,light rain
92,Vestmanna,FO,62.1564,-7.1664,34.72,60,75,32.21,broken clouds
93,New Norfolk,AU,-42.7826,147.0587,54.72,71,40,2.1,scattered clouds
94,Lashio,MM,22.9333,97.75,46.9,71,0,2.1,clear sky
95,Diffa,NE,13.3154,12.6113,73.92,13,0,9.24,clear sky
96,Namatanai,PG,-3.6667,152.4333,79.72,82,76,4.12,broken clouds
97,Hasaki,JP,35.7333,140.8333,23.4,39,0,24.81,clear sky
98,Sahuaripa,MX,29.05,-109.2333,63.84,33,15,1.28,few clouds
99,Maniitsoq,GL,65.4167,-52.9,3.87,76,100,15.48,overcast clouds
100,Olga,RU,43.7444,135.2892,9.55,62,1,11.56,clear sky
101,Iquique,CL,-20.2208,-70.1431,73.44,66,4,6.44,clear sky
102,Suntar,RU,62.1444,117.6319,2.12,98,100,2.13,overcast clouds
103,Nikolskoye,RU,59.7035,30.7861,34.88,94,100,12.3,light snow
104,Port Alfred,ZA,-33.5906,26.891,76.17,81,0,30.58,clear sky
105,Kaya,BF,13.0917,-1.0844,89.78,8,0,7.07,clear sky
106,Umm Lajj,SA,25.0213,37.2685,68.97,48,0,22.35,clear sky
107,Huarmey,PE,-10.0681,-78.1522,75.27,71,69,10.51,broken clouds
108,Tyukhtet,RU,56.5389,89.3011,7.97,95,100,3.74,overcast clouds
109,Sajanan,TN,37.0573,9.2426,51.24,86,100,9.78,overcast clouds
110,Banamba,ML,13.55,-7.45,91.29,5,0,8.39,clear sky
111,Santa Maria Del Oro,MX,25.9333,-105.3667,57.06,29,8,5.91,clear sky
112,Flinders,AU,-34.5833,150.8552,65.21,86,64,7.0,light rain
113,Carnarvon,AU,-24.8667,113.6333,74.8,70,28,23.09,scattered clouds
114,Tabou,CI,4.423,-7.3528,82.94,70,89,10.36,overcast clouds
115,Haines Junction,CA,60.7522,-137.5108,21.18,94,83,7.2,broken clouds
116,Hermanus,ZA,-34.4187,19.2345,73.9,79,7,9.53,clear sky
117,Butaritari,KI,3.0707,172.7902,81.19,78,51,15.12,light rain
118,San Isidro,PE,-12.1167,-77.05,74.25,71,0,5.01,clear sky
119,San Jose,US,37.3394,-121.895,58.21,67,20,3.44,few clouds
120,Castro,BR,-24.7911,-50.0119,77.34,69,76,8.86,broken clouds
121,Mosquera,CO,4.7059,-74.2302,64.49,55,75,6.91,broken clouds
122,Shirokiy,RU,49.758,129.523,-18.08,100,92,1.59,overcast clouds
123,Kalmar,SE,56.6616,16.3616,38.14,93,0,4.61,clear sky
124,Tuatapere,NZ,-46.1333,167.6833,39.81,92,3,3.83,clear sky
125,Chumikan,RU,54.7183,135.315,-8.99,87,92,9.69,overcast clouds
126,Port Lincoln,AU,-34.7333,135.8667,70.81,71,0,11.72,clear sky
127,Havoysund,NO,70.9963,24.6622,30.43,74,30,29.1,scattered clouds
128,Saint-Philippe,RE,-21.3585,55.7679,80.19,81,99,15.7,overcast clouds
129,Hokitika,NZ,-42.7167,170.9667,54.1,68,100,8.72,overcast clouds
130,San Matias,BO,-16.3667,-58.4,89.29,56,97,7.0,overcast clouds
131,Korla,CN,41.7597,86.1469,24.51,46,9,4.52,clear sky
132,Saskylakh,RU,71.9167,114.0833,-26.75,100,97,1.32,overcast clouds
133,Kavieng,PG,-2.5744,150.7967,81.41,78,100,4.12,overcast clouds
134,Klaksvik,FO,62.2266,-6.589,36.52,61,87,37.51,overcast clouds
135,Kaitangata,NZ,-46.2817,169.8464,45.93,85,5,2.48,clear sky
136,Phalaborwa,ZA,-23.943,31.1411,76.44,61,80,12.48,broken clouds
137,Oudtshoorn,ZA,-33.5907,22.2014,85.98,30,36,10.07,scattered clouds
138,Burnie,AU,-41.0667,145.9167,60.94,82,62,11.03,broken clouds
139,Bilibino,RU,68.0546,166.4372,-17.88,78,14,4.45,few clouds
140,Kodiak,US,57.79,-152.4072,38.71,65,0,3.44,clear sky
141,Auki,SB,-8.7676,160.7034,78.71,88,100,7.74,overcast clouds
142,Tasiilaq,GL,65.6145,-37.6368,23.16,60,100,26.24,overcast clouds
143,Sorland,NO,67.667,12.6934,35.46,62,100,17.63,overcast clouds
144,La Ronge,CA,55.1001,-105.2842,-2.61,94,38,7.74,scattered clouds
145,Campos Do Jordao,BR,-22.7394,-45.5914,72.86,94,100,2.84,overcast clouds
146,Yellowknife,CA,62.456,-114.3525,-9.58,96,100,13.85,overcast clouds
147,Esperance,AU,-33.8667,121.9,66.04,87,21,27.69,few clouds
148,Makinsk,KZ,52.6292,70.4169,7.7,79,11,8.03,few clouds
149,Qinhuangdao,CN,39.9317,119.5883,25.43,47,55,6.24,broken clouds
150,Nemuro,JP,43.3236,145.575,22.84,74,60,18.48,broken clouds
151,Emerald,AU,-23.5333,148.1667,72.34,69,32,10.04,scattered clouds
152,Sabha,LY,27.0377,14.4283,62.91,17,27,7.94,scattered clouds
153,Husavik,IS,66.0449,-17.3389,26.51,87,100,11.25,light snow
154,Komsomolskiy,UZ,40.4272,71.7189,41.72,81,75,11.5,broken clouds
155,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,85,75,13.89,broken clouds
156,Fortuna,US,40.5982,-124.1573,46.74,87,0,5.75,clear sky
157,Rovaniemi,FI,66.5,25.7167,22.41,86,100,14.97,overcast clouds
158,Avarua,CK,-21.2078,-159.775,73.45,100,20,9.22,few clouds
159,Jamestown,US,42.097,-79.2353,31.01,40,0,8.01,clear sky
160,Shaunavon,CA,49.6501,-108.4181,31.21,71,62,12.48,broken clouds
161,Angatuba,BR,-23.4897,-48.4128,81.82,66,76,9.4,broken clouds
162,Bethel,US,41.3712,-73.414,27.18,52,0,4.61,clear sky
163,Dikson,RU,73.5069,80.5464,-21.78,99,68,8.68,broken clouds
164,Hazaribag,IN,23.9833,85.35,52.52,54,15,3.0,few clouds
165,Nanga Eboko,CM,4.6833,12.3667,84.74,22,47,1.07,scattered clouds
166,Pacasmayo,PE,-7.4006,-79.5714,74.71,71,96,11.52,overcast clouds
167,Bowen,AU,-20.0167,148.2333,75.81,76,77,15.39,broken clouds
168,Araouane,ML,18.9048,-3.5265,80.6,6,0,5.84,clear sky
169,Ferkessedougou,CI,9.6,-5.2,96.21,9,4,4.88,clear sky
170,Turbana,CO,10.2717,-75.4422,85.01,42,0,3.22,clear sky
171,Giyani,ZA,-23.3025,30.7187,76.21,56,73,10.85,broken clouds
172,Manokwari,ID,-0.8667,134.0833,77.58,79,100,3.69,overcast clouds
173,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,9.22,light snow
174,Normandin,CA,48.8333,-72.5321,-0.09,79,100,8.59,overcast clouds
175,Upernavik,GL,72.7868,-56.1549,-9.54,93,100,5.44,overcast clouds
176,Turkistan,KZ,43.0,68.0,36.99,86,100,16.37,overcast clouds
177,Hithadhoo,MV,-0.6,73.0833,82.83,70,25,11.3,scattered clouds
178,Morondava,MG,-20.2833,44.2833,80.47,83,100,21.47,moderate rain
179,Saint-Augustin,CA,51.226,-58.6502,-2.24,69,16,16.6,few clouds
180,Yerbogachen,RU,61.2767,108.0108,-15.66,100,92,2.33,overcast clouds
181,Garowe,SO,8.4054,48.4845,75.47,53,100,16.11,overcast clouds
182,Port Augusta,AU,-32.5,137.7667,78.94,28,54,8.88,broken clouds
183,Khash,IR,28.2211,61.2158,52.72,40,0,5.46,clear sky
184,Chuy,UY,-33.6971,-53.4616,70.57,52,75,15.19,broken clouds
185,Karratha,AU,-20.7377,116.8463,84.25,79,37,1.9,scattered clouds
186,Severo-Kurilsk,RU,50.6789,156.125,30.33,83,100,14.74,overcast clouds
187,Aasiaat,GL,68.7098,-52.8699,-4.68,96,100,3.8,overcast clouds
188,Bongandanga,CD,1.5,21.05,84.24,30,51,2.44,broken clouds
189,Arlit,NE,18.7369,7.3853,77.61,6,0,8.43,clear sky
190,Kaeo,NZ,-35.1,173.7833,73.33,98,100,5.23,overcast clouds
191,Chara,RU,56.9064,118.2631,-3.57,87,91,3.09,overcast clouds
192,Nangong,CN,37.3581,115.3744,31.86,39,100,4.54,overcast clouds
193,Baturaja,ID,-4.1333,104.1667,73.47,97,100,2.71,overcast clouds
194,Axim,GH,4.8699,-2.2405,81.84,71,92,10.71,overcast clouds
195,Oistins,BB,13.0667,-59.5333,84.29,61,40,18.41,scattered clouds
196,Luau,AO,-10.7073,22.2247,67.75,83,84,5.1,broken clouds
197,Leningradskiy,RU,69.3833,178.4167,-22.5,98,14,6.02,few clouds
198,Naze,JP,28.3667,129.4833,51.71,65,100,11.3,overcast clouds
199,Kruisfontein,ZA,-34.0033,24.7314,77.88,67,64,10.22,broken clouds
200,Wanning,CN,18.8003,110.3967,69.82,89,99,7.34,overcast clouds
201,Vila,PT,42.0304,-8.1588,50.74,62,49,4.54,scattered clouds
202,Marsh Harbour,BS,26.5412,-77.0636,74.82,72,97,12.06,overcast clouds
203,Pisco,PE,-13.7,-76.2167,71.02,83,40,9.22,mist
204,Tahta,EG,26.7693,31.5021,59.88,37,0,10.29,clear sky
205,Darnah,LY,32.767,22.6367,60.22,68,2,12.19,clear sky
206,Salalah,OM,17.0151,54.0924,77.09,78,0,1.14,clear sky
207,Saint-Francois,FR,46.4154,3.9054,47.64,66,100,13.8,overcast clouds
208,Bubaque,GW,11.2833,-15.8333,78.3,66,8,12.5,clear sky
209,Manicore,BR,-5.8092,-61.3003,91.67,52,61,1.5,broken clouds
210,Ixtapa,MX,20.7,-105.2,74.43,64,20,0.0,few clouds
211,Palera,IN,25.0167,79.2333,58.08,42,0,6.98,clear sky
212,Atambua,ID,-9.1061,124.8925,74.88,86,49,1.77,scattered clouds
213,Deer Lake,CA,49.1667,-57.4316,10.02,83,93,12.77,overcast clouds
214,Fort Abbas,PK,29.1925,72.8536,64.09,33,3,9.93,clear sky
215,Tessalit,ML,20.1986,1.0114,78.82,7,0,4.12,clear sky
216,Kavaratti,IN,10.5669,72.642,78.4,67,45,9.15,scattered clouds
217,Port Elizabeth,ZA,-33.918,25.5701,80.1,83,20,18.41,few clouds
218,Evansville,US,37.9748,-87.5558,37.08,63,0,1.99,clear sky
219,Glendive,US,47.1053,-104.7125,38.95,73,75,6.91,broken clouds
220,Zaraza,VE,9.3503,-65.3245,95.02,34,86,5.68,overcast clouds
221,Kyren,RU,51.6828,102.1408,9.19,82,59,2.42,broken clouds
222,Taltal,CL,-25.4,-70.4833,71.47,67,6,6.82,clear sky
223,Arman,RU,59.7,150.1667,-1.34,72,22,11.27,few clouds
224,Shimoda,JP,34.6667,138.95,35.1,74,70,7.23,light snow
225,Lagoa,PT,39.05,-27.9833,60.57,82,2,11.07,clear sky
